Date,normalized_returns,vol_5,vol_10,vol_20,market_vola,top_level_state,sub_level_state
2021-10-18,0.01067896500206098,-0.7014505075540526,-0.9731659750232108,-0.9767193686543459,-0.5507917948589851,0,1
2021-10-19,-0.001076765697892102,-0.6791331823697202,-0.9463858328331546,-0.9813396326350597,-0.6601061217178534,0,1
2021-10-20,-0.008807107757031269,-0.42538737875600213,-0.8786096377196857,-0.9828849948837904,-0.6977389507843773,0,1
2021-10-21,0.005499719277996972,-0.4293912585852838,-0.9063281078726181,-0.9996996263830781,-0.7837567481351908,0,1
2021-10-22,-0.02970733690379754,-0.40769613979027497,-0.5223256034475702,-0.8221007683482331,-0.7084910900021432,1,1
2021-10-25,-0.004886417853491592,-0.6186028300729891,-0.5852454555572686,-0.8240303629186729,-0.7425399296301355,1,1
2021-10-26,0.016311070171913796,-0.28265475279949936,-0.5228026839641353,-0.9130373851073263,-0.6099290732632123,1,1
2021-10-27,0.004526808199972831,-0.2686070043761523,-0.5432183782116549,-0.9168744721478845,-0.4307251578801793,1,1
2021-10-28,0.015490386198795761,-0.13615779983666185,-0.49345171124995457,-0.8849911342667327,-0.5113667147199383,1,1
2021-10-29,-0.022071025114124194,-0.3913511289826608,-0.6392030560780566,-0.7710813075745471,-0.5597518539063996,1,1
2021-11-01,-0.016563269860792953,-0.22133112509986058,-0.6356326902591917,-0.897955678748367,-0.5328713349598132,1,1
2021-11-02,-0.0019417567292072998,-0.44569081901003094,-0.6373478544410974,-0.9095597949398373,-0.6009686724114548,1,1
2021-11-03,0.02095474120188222,-0.13126607870919035,-0.4528957700901652,-0.8532697996341809,-0.7676283684063704,1,1
2021-11-04,0.02678642365867286,0.1176030838619275,-0.23450041504407926,-0.7479078079057472,-0.7066991807339632,1,1
2021-11-05,0.011679050253797466,-0.25208621157923844,-0.55474962691818,-0.7419829387675978,-0.5203271155716958,1,1
2021-11-08,-0.008889560646183856,-0.4723684863645546,-0.5218534379258223,-0.7668042796368397,-0.38771625920477254,1,1
2021-11-09,0.024374633277639505,-0.5159340033296458,-0.4381546765073953,-0.6876616221685717,-0.2873618204911471,1,1
2021-11-10,-0.027013011844914565,0.21394328163535767,-0.14664888578760574,-0.5257899590352557,-0.11711830595987159,1,1
2021-11-11,-0.003071407364688846,-0.07198583606544155,-0.19860456460643722,-0.5211717851052744,-0.308866440731022,1,1
2021-11-12,0.014723193690670721,-0.027509427908547105,-0.3304271624907568,-0.6598722843743138,-0.5543756133953451,1,1
2021-11-15,0.005481870901648686,-0.07688894340539491,-0.48462614428858336,-0.6734027825021746,-0.5185350354013443,1,1
2021-11-16,-0.0017305141444383953,-0.43110053853856145,-0.4857974989159871,-0.6727861965454355,-0.5400393138368762,1,1
2021-11-17,0.002016347302632641,-1.1558133356495883,-0.5662760924587299,-0.6923422469579237,-0.40742845746995293,1,1
2021-11-18,0.04027645649229361,-0.3140064251804646,-0.31229234333646666,-0.4359827361620019,-0.32141066011913944,1,1
2021-11-19,-0.0056121069786996495,-0.17568812057305666,-0.2922229963611748,-0.6207139025599984,-0.26406546188526375,1,1
2021-11-22,-0.02902013564929021,0.38695773794989446,-0.03788704800257995,-0.4415156821584477,-0.03826848748612104,1,1
2021-11-23,0.0017637339965477557,0.3823652014555978,-0.1919693872788828,-0.47182049143888816,-0.00063582932176876,1,1
2021-11-24,-0.00022173076425820436,0.38384542558687074,-0.4364024857479534,-0.47126752121757076,-0.14399882490645793,1,1
2021-11-26,-0.02173735862381462,-0.5893429055635457,-0.27197789933578465,-0.41329960092968676,1.6552086496052778,1,1
2021-11-29,0.01581149490261855,-0.18693682653646498,-0.2623658311868539,-0.47259756408466397,0.6409141740773155,1,1
2021-11-30,-0.015745602854088412,-0.4803457490013078,-0.20222173496442267,-0.4778588512289005,1.3989469959188456,3,0
2021-12-01,-0.01855366450723086,-0.41343544103825425,-0.12612709583217283,-0.40824729973478147,2.1032184380628602,3,0
2021-12-02,-0.0021736372820427815,-0.43258030771541484,-0.13377496045841591,-0.4741522347789219,1.5351420126264719,3,0
2021-12-03,-0.014260769545560936,-0.5442385324522113,-0.8507423488931121,-0.5734786299406109,2.022576539418758,3,0
2021-12-06,0.010700176929146144,-0.7178352204409674,-0.7078476247005899,-0.5780300943664044,1.3971549157484942,3,0
2021-12-07,0.027276998030909202,-0.14946136100416677,-0.5549898376808493,-0.45131916045969434,0.44916603930616517,1,1
2021-12-08,-0.00036194016475808667,-0.4206763355342824,-0.5587906255841403,-0.5595660155618293,0.0925502887104507,1,1
2021-12-09,-0.011668782006268268,-0.29281823437935917,-0.5310126679189312,-0.6653102362647744,0.39361292124264097,1,1
2021-12-10,-0.011636337565396023,-0.3452473046642288,-0.6337381253497706,-0.6432329745660061,-0.12428628483693455,1,1
2021-12-13,-0.015800242918596337,-0.25249051257801475,-0.7219079616657262,-0.654233358026695,0.16602386667314678,1,1
2021-12-14,-0.003136117523748936,-1.2105220107217702,-0.7708333389025737,-0.6661258590940875,0.44916603930616517,1,1
2021-12-15,0.024345691725961006,-0.36471979103332197,-0.6147307426759527,-0.5381798396052572,-0.016763867246246168,1,1
2021-12-16,-0.026300680083626033,-0.11607265581358422,-0.39317970692067045,-0.43903498212292663,0.21261692568925653,1,1
2021-12-17,0.006441220078101142,-0.07381416179670625,-0.4318306294056443,-0.7758453727315224,0.3918208410722895,1,1
2021-12-20,-0.017759701428028202,-0.044572178422853444,-0.39296129121671064,-0.742553278523674,0.6247861361528382,1,1
2021-12-21,0.019456654566483378,0.16667912361942058,-0.5327006583022585,-0.7596824422159222,0.29146674416300705,1,1
2021-12-22,0.003306463214840069,-0.158169851732056,-0.5201029078898027,-0.7565078576832367,-0.13503876585904348,1,1
2021-12-23,-0.00014092130261621452,-0.6110695252198802,-0.5459440324248466,-0.7564302345642318,-0.2551054028378493,1,1
2021-12-27,-0.008536687088804765,-0.568238057347388,-0.5637701898195142,-0.8251703180286288,-0.305282280390319,1,1
2021-12-28,0.005501669965036001,-0.8898119928648958,-0.6319476861263149,-0.88061227550831,-0.33037071916655386,1,1
2021-12-29,-0.008916765869188957,-1.1941169880890468,-0.6061618879959254,-0.9100170383225489,-0.43610105658689075,1,1
2021-12-30,-0.0036194684947523518,-1.2480276728932325,-0.8740359954629227,-0.9714139326827688,-0.36800371913524915,1,1
2021-12-31,-0.011820258562676168,-1.1825100820421752,-1.1061662388485702,-0.9482862244777034,-0.38771625920477254,1,1
2022-01-03,0.021552218186491175,-0.6072287199159503,-0.8897412089510578,-0.8770498270996535,-0.49882249533182094,1,1
2022-01-04,-0.017385330457073137,-0.46240833831389744,-0.8955577467454222,-0.8465248229582043,-0.44326937726829674,1,1
2022-01-05,-0.019398887084092698,-0.3332177419577301,-0.9677962166184327,-0.9791535725704307,0.06208560942316138,1,1
