Date,normalized_returns,vol_5,vol_10,vol_20,market_vola,top_level_state,sub_level_state
2021-10-18,0.0010900349515658278,-0.47433880429890457,-0.45657524984264036,0.6119986045232833,-0.5507917948589851,0,2
2021-10-19,-0.03764097161375404,-0.5725634078329612,-0.5166122999708733,0.6038467779823726,-0.6601061217178534,0,2
2021-10-20,-0.01298934848343028,-0.5429224303710662,-0.5157911538165112,0.394090691067938,-0.6977389507843773,0,2
2021-10-21,-0.03100126668923987,-1.0836920779143675,-0.5826395514961586,0.27609584172398527,-0.7837567481351908,0,2
2021-10-22,0.028073737328596363,-0.8405138806379134,-0.5033016721415468,0.27329671431084973,-0.7084910900021432,0,2
2021-10-25,-0.011913438843702301,-0.8597868504460151,-0.7871129105202522,0.22228991977548954,-0.7425399296301355,0,2
2021-10-26,0.04789108852152466,-0.6885298509775599,-0.5930249945691501,-0.4979424626806989,-0.6099290732632123,0,2
2021-10-27,0.061174954301559045,-0.5308447049973704,-0.46928286991516377,-0.3975543249032132,-0.4307251578801793,1,0
2021-10-28,-0.026382488482483937,-0.5656030116183985,-0.7907416274217509,-0.4238635558161293,-0.5113667147199383,1,0
2021-10-29,-0.015992123106806536,-0.502181356550479,-0.8278889367292238,-0.5297037164296663,-0.5597518539063996,1,0
2021-11-01,0.009659489676932073,-0.5492046659495824,-0.8242145074135806,-0.70890264812511,-0.5328713349598132,1,0
2021-11-02,-0.022952174277599855,-0.5981219722225479,-0.8680374082489819,-0.7817896470943677,-0.6009686724114548,1,0
2021-11-03,-0.059290528303274574,-0.8808066467125343,-0.719838169650025,-0.7400882738896406,-0.7676283684063704,1,0
2021-11-04,0.02274346040504873,-0.7101751429056504,-0.7409076001562186,-0.7830572392503226,-0.7066991807339632,1,0
2021-11-05,0.06566269135446152,-0.33789677302407,-0.6174043282302033,-0.6882597625398025,-0.5203271155716958,1,0
2021-11-08,0.044400674489736704,-0.25066391607295957,-0.5909415047860306,-0.7368349876424304,-0.38771625920477254,1,0
2021-11-09,0.03247952164948116,-0.324596103442293,-0.6231654320444142,-0.7063338293770888,-0.2873618204911471,1,0
2021-11-10,0.052528935380565245,-1.0725677913066238,-0.6534798750549261,-0.7194584359148636,-0.11711830595987159,1,0
2021-11-11,-0.05834759341092139,-0.28487703971393447,-0.534106080454975,-0.8647124229635427,-0.308866440731022,1,0
2021-11-12,-0.08027399565030892,0.03090386645347436,-0.3196854269710167,-0.7450181322301905,-0.5543756133953451,1,0
2021-11-15,0.01267935594515588,-0.07567383678022183,-0.3178276869068637,-0.742038990314179,-0.5185350354013443,1,0
2021-11-16,-0.006826967972437652,-0.18157757756826962,-0.33386042170851876,-0.7732949880683799,-0.5400393138368762,1,0
2021-11-17,0.044689392996164146,-0.24060087317262244,-0.4312069049662807,-0.7444394781996736,-0.40742845746995293,1,0
2021-11-18,0.02814415591728823,-0.3047689300359282,-0.4269741013498166,-0.7652644098651911,-0.32141066011913944,1,0
2021-11-19,0.018505352198195206,-1.017959755043515,-0.5239977091755738,-0.7714170650001659,-0.26406546188526375,1,0
2021-11-22,0.06846406555393836,-0.7963156464458029,-0.44903852142642525,-0.709920757369206,-0.03826848748612104,1,0
2021-11-23,0.01137171419054827,-0.9259798025617755,-0.46534652449606156,-0.7379383989163074,-0.00063582932176876,1,0
2021-11-24,-0.041679121809629655,-0.5232937239703691,-0.47184164624163044,-0.7473812309374833,-0.14399882490645793,1,0
2021-11-26,0.4324967862416121,3.136220328911695,2.168771865846886,1.3459996516953883,1.6552086496052778,3,2
2021-11-29,-0.21987555980570267,4.303575377289651,2.719399327595038,1.8108463016405787,0.6409141740773155,3,2
2021-11-30,0.16957245877903146,4.451404720504813,2.863902490633737,1.9732551564930005,1.3989469959188456,3,2
2021-12-01,0.1354781600612136,4.42277869732394,2.88176265459177,2.034575013404609,2.1032184380628602,3,2
2021-12-02,-0.10695678731071481,4.679916627742921,3.1247930692053587,2.1134919872201627,1.5351420126264719,3,2
2021-12-03,0.09334446578548712,2.6084564222533864,3.133941999258055,2.138488613382831,2.022576539418758,4,2
2021-12-06,-0.12032684859334404,1.8476321035725225,3.373568258670728,2.286818869326736,1.3971549157484942,4,2
2021-12-07,-0.21597482422940575,2.152437819048466,3.8400540110640646,2.644863410784148,0.44916603930616517,4,2
2021-12-08,-0.09483345902155095,1.2406639748870123,3.9217940557473154,2.709562115408834,0.0925502887104507,4,2
2021-12-09,0.08152395580291485,1.769079854710303,3.941722431077435,2.7312865209185397,0.39361292124264097,4,2
2021-12-10,-0.14330159418316502,1.1864120771602973,2.3360479359807584,2.8421617424337446,-0.12428628483693455,4,2
2021-12-13,0.08360141132444734,1.7861992774564084,2.0633741515580635,2.8307137427199467,0.16602386667314678,4,2
2021-12-14,0.07539324642455626,1.1902687566227064,1.755288751275027,2.8543011051189873,0.44916603930616517,4,2
2021-12-15,-0.12596629720378666,1.367611085696338,1.4950464244468817,2.965775708286733,-0.016763867246246168,4,2
2021-12-16,0.06472352651946423,1.297438585702901,1.5744223138419535,2.9765785827218196,0.21261692568925653,4,2
2021-12-17,0.04794646949344512,0.640288518414577,1.4509912218888972,2.9831038247225017,0.3918208410722895,4,2
2021-12-20,0.05899931054704308,0.5633657603955987,1.4272469877862108,2.9960398399026267,0.6247861361528382,4,2
2021-12-21,-0.0843508069102119,0.7036513342483325,0.8822055476220964,3.0262588967023913,0.29146674416300705,4,2
2021-12-22,-0.11974867411533795,0.6550337309481109,0.9641697449045284,3.111580181562842,-0.13503876585904348,4,2
2021-12-23,-0.03614941559849522,0.43052608576946755,0.8318233346186427,3.109184570732644,-0.2551054028378493,4,1
2021-12-27,-0.015236225358130916,0.17544993115443272,0.5252497517143786,1.8082521793749176,-0.305282280390319,4,2
2021-12-28,-0.007473323260552892,-0.3185075867401828,0.3553953768245155,1.4859553765660072,-0.33037071916655386,4,2
2021-12-29,-0.03373944823350151,-0.3942422114021394,0.1675834726853238,1.1833278553445399,-0.43610105658689075,4,2
2021-12-30,0.02264793255689945,-0.9027903308471131,-0.07234509661416547,0.9618047176640905,-0.36800371913524915,4,2
2021-12-31,-0.005890928130954107,-0.9859378486983094,-0.23510377959774192,0.902289238528171,-0.38771625920477254,4,2
2022-01-03,-0.03619202871265786,-0.8966597232063985,-0.37047227015265005,0.7570323333665986,-0.49882249533182094,4,2
2022-01-04,0.01897914761379812,-0.8030971417437691,-0.5457213184431917,0.6872531378500217,-0.44326937726829674,4,2
2022-01-05,0.15471185501560264,0.2880212644208677,0.1488700675539002,0.5534985048732017,0.06208560942316138,2,1
