,VS0_0,VS0_1,VS0_2
VS0_0,0.9020528015920702,2.1716409102810028e-20,0.09794719840792969
VS0_1,0.024398023784183147,0.9756019762158166,2.642069590424024e-16
VS0_2,0.02835657915519037,0.029291657245571825,0.9423517635992379
