,VS0_0,VS0_1,VS0_2
VS0_0,0.9622046437587313,4.78797742765621e-41,0.037795356241268785
VS0_1,2.056931230645128e-90,0.9707142056606398,0.029285794339360325
VS0_2,0.022659098456410377,0.018554978159547653,0.9587859233840419
