,VS0_0,VS0_1,VS0_2
VS0_0,0.978757502932113,9.1995060509795e-120,0.021242497067886952
VS0_1,2.3859052711235617e-113,0.9841404189520622,0.015859581047937905
VS0_2,0.013238716431319518,0.006668512164165253,0.9800927714045152
