,VS0_0,VS0_1,VS0_2
VS0_0,0.9596931646394318,0.01889319433892936,0.0214136410216389
VS0_1,0.024402751150197792,0.9755972488498023,1.1774091488732754e-71
VS0_2,0.030639316288528676,3.4483128001761167e-53,0.9693606837114712
