,VS0_0,VS0_1,VS0_2
VS0_0,0.9622046437586508,4.7879774276995e-41,0.03779535624134925
VS0_1,2.056931230638001e-90,0.9707142056606406,0.029285794339359333
VS0_2,0.02265909845633954,0.01855497815956549,0.958785923384095
