,VS0_0,VS0_1,VS0_2
VS0_0,0.9596931646394303,0.018893194338948933,0.02141364102162075
VS0_1,0.024402751150201386,0.9755972488497986,1.1774091488701587e-71
VS0_2,0.030639316288542703,3.448312800160965e-53,0.9693606837114573
