,VS0_0,VS0_1,VS0_2
VS0_0,0.9787575029321134,9.199506050977403e-120,0.02124249706788667
VS0_1,2.3859052711215232e-113,0.9841404189520606,0.015859581047939247
VS0_2,0.013238716431319684,0.006668512164165075,0.9800927714045152
