Date,normalized_returns,vol_5,vol_10,vol_20,market_vola,regime_state
2020-05-14,0.008293802430804293,-0.5240328188860875,0.8794177214095951,0.5689487632209589,1.9608599611106292,0
2020-05-15,0.008217099202461862,-0.49547930168266296,-1.0739267282611862,0.5526373108337228,1.842161853165631,0
2020-05-18,0.006309273346913044,-0.5645503214115131,-1.1099721857339524,0.5509093424064225,1.4151790802903061,0
2020-05-19,0.00895721697119008,-1.5709226777767153,-1.1095904292770384,0.44342452774886193,1.6179549098823214,0
2020-05-20,0.019145616268534133,-1.2877607935414332,-1.040695538803,0.4617756683453087,1.1992149214178127,0
2020-05-21,-0.02121619686943402,-0.3854505353864105,-0.72535011363655,0.5069743789824082,1.4530967061294413,0
2020-05-22,-0.004544251764920872,-0.36332696542579457,-0.7068400319316214,0.5082127038757358,1.227240828633485,0
2020-05-26,-0.006688976997831669,-0.3515249543241419,-0.7326220083458812,0.4842156757517483,1.2025121609589668,0
2020-05-27,-0.005253581987286751,-0.4401254955365326,-0.9749829451075893,0.3827377667897011,1.138217562116806,0
2020-05-28,-0.0043678870424559355,-1.0974320539191569,-0.9621816288819762,0.3071449304880676,1.2981299065579546,0
2020-05-29,0.016535620081519906,-0.8668786644682822,-0.8694350347739459,0.09048768602070692,1.1200830590825268,0
2020-06-01,0.0111639640427693,-0.7770352762630409,-0.8470714411833243,-1.2075509125280304,1.2387808525854556,0
2020-06-02,4.795306843251312e-05,-0.8700438244117046,-0.8560498191344312,-1.231318433374329,1.0096280499904144,0
2020-06-03,0.0019135142631792465,-0.9763399899096693,-0.8864333969073501,-1.2329987945077987,0.8150953192512849,0
2020-06-04,-0.007714252237903826,-0.8865724758322205,-1.0688205775638007,-1.2427534688973754,0.839823986925803,0
2020-06-05,0.008556017039225379,-1.0762156312688498,-1.2889430732629306,-1.2354582106840037,0.6271570675944638,0
2020-06-08,0.015894931529205306,-0.9424763366184473,-1.1870345316206357,-1.18143820350774,0.839823986925803,0
2020-06-09,0.02946712547717857,-0.4768342476563387,-0.9178216539082208,-1.0097309808800272,1.1299744632639201,0
2020-06-10,0.017248451140918393,-0.5161349739881771,-0.9584334663917787,-1.1572975083598689,1.1299744632639201,0
2020-06-11,-0.03489309684767909,0.4831256442785586,-0.28114570099577085,-0.7697724568974221,3.3094001181199193,0
2020-06-12,-0.005577871192656023,0.5385590884473846,-0.2925983097893924,-0.7594747628912386,2.5345664347045553,0
2020-06-15,0.010303384744671453,0.4921411258769156,-0.2968040662909894,-0.7533511101728875,2.255956296760478,0
2020-06-16,0.015912906414480864,0.22025498575272545,-0.2575379201926386,-0.7188266046500084,2.135609254602833,0
2020-06-17,0.009276367364447608,0.10596021701142311,-0.2569682202949378,-0.7180042926868037,2.1026381169595685,0
2020-06-18,0.004404119776068586,-1.0204067801383512,-0.3238291939988527,-0.7764159048624595,2.0152628413293274,0
2020-06-19,0.00738641734819271,-1.3649876471695408,-0.3246154757408874,-0.9130171466738458,2.374653775821337,0
2020-06-22,0.013897759978577418,-1.3236268166378276,-0.33579371274933334,-0.9106544154984086,1.8223790448028443,0
2020-06-23,0.017963781877407888,-1.263442716409292,-0.48225502959697947,-0.9089042885029122,1.7564358261901063,0
2020-06-24,-0.011421511840954902,-0.7270273812903381,-0.4554557238029755,-0.8664220313733189,2.163635476260575,0
2020-06-25,0.00684667789113769,-0.7322254097164664,-1.2001500824682358,-0.8924626820926274,1.8965653622684682,0
2020-06-26,-0.02316380609082334,-0.1683740819105087,-0.8100270751977063,-0.7331749248517159,2.3103591769791763,0
2020-06-29,-0.0051552267076760225,-0.30842672439953595,-0.7843376897976879,-0.7262271018651106,1.8240276645734215,0
2020-06-30,0.028338166862827075,0.021848339613744532,-0.5929771080569085,-0.6061222745166648,1.6014690266186196,1
2020-07-01,0.04202948684994415,0.5967158324244711,-0.146962326774349,-0.35532203521081596,1.303075765869686,1
2020-07-02,0.0035152232958302796,0.6090188014540343,-0.14465237250271804,-0.3944835816685347,1.1481089662981994,1
2020-07-06,0.05558057249275488,0.5554456288377555,0.41925628472447396,-0.014088189013271099,1.1909721370069966,1
2020-07-07,-0.01930118344912582,0.9650144270207105,0.6386897064209216,0.10440458228100345,1.4366108228657395,1
2020-07-08,0.0261313421555631,0.956019947835642,0.6836194440476105,0.08407893829453873,1.2140521849109374,1
2020-07-09,0.03191171437612135,0.8281466942155529,0.6391282176409138,0.1568810201741334,1.408584915650067,1
2020-07-10,0.004936620211215787,0.8106968623662345,0.6467093722079972,-0.15717446695878906,1.0838143674560383,1
2020-07-13,-0.030965516203572418,0.7330700224279725,0.7896451214572994,0.07622866807656384,1.8916191885146674,1
2020-07-14,-0.006970435802883642,0.5556362830396421,0.8051224417791235,0.11523437407014059,1.4514480863588641,1
2020-07-15,-0.025169153881100356,0.5281652333816318,1.0121809585395776,0.2641348080862599,1.1612976100207468,1
2020-07-16,-0.003491937913987593,-0.38204827251096757,0.755726872559026,0.27631785469296427,1.20086354118839,1
2020-07-17,-0.013230654276175815,-0.6867627443712827,0.811416584666697,0.32606807230431023,0.8183925587924391,1
2020-07-20,0.07580194606146316,1.8809901446948358,1.3163101677423692,0.9411569692413251,0.6172653489710009,1
2020-07-21,-0.0189909836900565,1.9949573918187167,1.3136591184820994,1.0187468373709092,0.6799116424846543,1
2020-07-22,-0.012811316394887114,1.8355639725875752,1.2466407910865902,1.0428804247840926,0.59418530106706,1
2020-07-23,-0.03776048823532675,2.2523537059882126,1.234615096468737,1.214661882636016,0.8843357774051772,1
