,VS0_0,VS0_1,VS0_2,VS0_3
VS0_0,2.449954909225999e-15,8.344177204818174e-147,0.03989657595612043,0.960103424043877
VS0_1,4.321426519949338e-159,0.9753552302157722,0.024644769784227784,5.5410055853503506e-161
VS0_2,2.677604812302013e-09,0.03476646607049594,0.9380700469624651,0.027163484289434093
VS0_3,0.9999999999999,2.5060122464749842e-164,9.942836172215867e-14,6.504261506180124e-16
