Date,normalized_returns,vol_5,vol_10,vol_20,market_vola,regime_layer0
2021-10-18,0.011035920849676835,-0.391739156217885,-0.9864609573213009,-0.6663574169427601,-0.5507917948589851,0
2021-10-19,0.014266437859394373,-0.7249137066636652,-0.9710003476366337,-0.6006199539456083,-0.6601061217178534,0
2021-10-20,0.002654475143451467,-1.0638027282559364,-0.9693357295578515,-0.6860678424101552,-0.6977389507843773,0
2021-10-21,0.0007715455567010688,-1.1678870412068356,-0.9783361662982305,-0.6982800320749967,-0.7837567481351908,0
2021-10-22,-0.005999875928385518,-0.854038082737236,-0.9405601362008226,-0.6843317277782601,-0.7084910900021432,0
2021-10-25,-0.0010377486661651367,-0.9337833851957023,-0.942903751527444,-0.7343782674975478,-0.7425399296301355,0
2021-10-26,0.003863482535910706,-1.3881350447890497,-1.1256122681002347,-1.01185833836842,-0.6099290732632123,0
2021-10-27,-0.0038534407462194804,-1.388184016534044,-1.1463026716157851,-1.006245564267751,-0.4307251578801793,0
2021-10-28,0.023983341920944933,-0.36338877800738434,-0.9940870684381751,-0.8666116203828917,-0.5113667147199383,0
2021-10-29,-0.01902378380908846,0.06535432763208511,-0.5751808052899204,-0.693517411634544,-0.5597518539063996,0
2021-11-01,-0.006324224806812879,0.10665739485618944,-0.5890203482783103,-0.9814667594653894,-0.5328713349598132,0
2021-11-02,0.006389349128099111,0.13200265774694422,-0.7033302412067531,-1.027307703726181,-0.6009686724114548,0
2021-11-03,0.00904985866289546,0.1586733103669709,-0.6513060760291915,-1.012056350330448,-0.7676283684063704,0
2021-11-04,-0.004205871420520119,-0.4730972886973227,-0.6347376053644738,-1.010345347823758,-0.7066991807339632,0
2021-11-05,0.0028748909965949786,-1.0415589391703413,-0.664925570635744,-1.0236510898302131,-0.5203271155716958,0
2021-11-08,-0.006269022716098578,-1.0435946722929141,-0.6295242958494727,-0.9974595588565558,-0.38771625920477254,0
2021-11-09,0.0017553544311118877,-1.110959983343989,-0.636551824930201,-1.064037498815005,-0.2873618204911471,0
2021-11-10,-0.02005050708903121,-0.727098494536931,-0.37915110838317273,-0.8694568712283596,-0.11711830595987159,0
2021-11-11,-0.0010391137904576457,-0.7032585934640601,-0.8916242167580444,-1.0077013706859705,-0.308866440731022,0
2021-11-12,0.013533972502117473,-0.3442351178132283,-0.9308511701805449,-0.9527214275430834,-0.5543756133953451,0
2021-11-15,-0.0006343592562503961,-0.3673584573456286,-0.9649122751862391,-0.9977425649664198,-0.5185350354013443,0
2021-11-16,0.0059436104209698555,-0.3171706527563741,-0.9698179935827574,-1.071933665507027,-0.5400393138368762,0
2021-11-17,0.015654065385913175,-0.9019929339571405,-0.8329095277299212,-0.9695214524749624,-0.40742845746995293,0
