Date,normalized_returns,vol_5,vol_10,vol_20,market_vola,regime_layer0,regime_layer1
2021-10-18,0.003005593693490118,-0.47372283733416587,-0.6613808886311702,-0.1667291096345038,-0.5507917948589851,1,0
2021-10-19,0.007002648675922045,-0.7827488336872758,-0.7152733197980186,-0.1489116852905513,-0.6601061217178534,1,0
2021-10-20,0.003293839490246981,-0.8070627307555979,-0.7152315692507729,-0.1870754623578549,-0.6977389507843773,1,0
2021-10-21,0.002627899060046314,-1.437108964800299,-0.7545038728845577,-0.26492202688437455,-0.7837567481351908,1,0
2021-10-22,-0.0014366233329780645,-1.2899200994205406,-0.770050300487772,-0.26183234754487444,-0.7084910900021432,1,0
2021-10-25,0.004373465332539801,-1.275604149806647,-1.0161208734449971,-0.26398876302554,-0.7425399296301355,1,0
2021-10-26,0.0014546473239304056,-1.439462409971684,-1.1201362130007997,-0.657107980243111,-0.6099290732632123,0,0
2021-10-27,-0.005427864479419236,-1.1247620265503977,-0.9109666104865421,-0.6111744983943338,-0.4307251578801793,0,0
2021-10-28,0.009417794315870318,-0.7758898572354612,-1.2380966020103947,-0.7558325329047406,-0.5113667147199383,0,0
2021-10-29,0.001583943123403848,-0.8265118413503016,-1.2846053419123675,-0.8206358921415949,-0.5597518539063996,0,0
2021-11-01,0.0014349648375886804,-0.8511030722216886,-1.2818946224984478,-1.0904664279085468,-0.5328713349598132,0,0
2021-11-02,0.003310113012074839,-0.8425060579769481,-1.3479524997850423,-1.1492760662899129,-0.6009686724114548,0,0
2021-11-03,0.006077000504576532,-1.2137897969412625,-1.3048827272693209,-1.1379953802180727,-0.7676283684063704,0,0
2021-11-04,0.003809728234503328,-1.5031731753811346,-1.2990218497818207,-1.167493428466854,-0.7066991807339632,0,0
2021-11-05,0.003362355936970737,-1.5491809919520456,-1.3508795937441758,-1.1994683540424897,-0.5203271155716958,0,0
2021-11-08,0.0005238999523888115,-1.487691509967184,-1.3435430695174941,-1.3326864973416654,-0.38771625920477254,0,0
2021-11-09,-0.0038684050347138356,-1.1298231734875779,-1.2325049419126055,-1.3127800618098637,-0.2873618204911471,0,0
2021-11-10,-0.008623336272174766,-0.8496913935673444,-1.084252318055108,-1.1406672858801437,-0.11711830595987159,0,0
2021-11-11,0.00018729422467522082,-0.9673033358633635,-1.2579783847238653,-1.3977277696996253,-0.308866440731022,0,0
2021-11-12,0.006833203455816699,-0.75874927163914,-1.16645596469376,-1.4011935114611136,-0.5543756133953451,0,0
2021-11-15,-0.0003742339863307099,-0.7675565647071328,-1.1599675299820682,-1.3957631794335537,-0.5185350354013443,0,0
2021-11-16,0.0034942849488129287,-0.7522268208550068,-1.1577849748595255,-1.4329967113571265,-0.5400393138368762,0,0
2021-11-17,-0.0029685095912095867,-1.134703507506719,-1.1994092348320897,-1.408869990012365,-0.40742845746995293,0,0
2021-11-18,0.0030155706318582064,-1.1389024937962724,-1.2133841916922434,-1.4071203152802056,-0.32141066011913944,0,0
2021-11-19,-0.001763138713301805,-1.3139706727036293,-1.2390867773549927,-1.4043187336454432,-0.26406546188526375,0,0
2021-11-22,-0.003565752425274433,-1.2180567093705539,-1.2170645548679304,-1.3882526454841528,-0.03826848748612104,0,0
2021-11-23,0.001292267274881493,-1.3203832221826104,-1.2396819606834824,-1.3884802996952093,-0.00063582932176876,0,0
2021-11-24,0.0019277296683535717,-1.3384312962731841,-1.489212938881764,-1.450696974315684,-0.14399882490645793,0,0
2021-11-26,-0.02335050526763487,0.15675448545561244,-0.3638529576774567,-0.869761785759983,1.6552086496052778,2,1
2021-11-29,0.012750341974510521,0.6995321161220381,-0.18019476475403864,-0.7183144563667628,0.6409141740773155,2,1
