Date,normalized_returns,vol_5,vol_10,vol_20,market_vola,regime_layer0,regime_layer1
2021-10-18,0.009605118822610087,-0.7655133315608312,-1.1335388524188208,-0.2810355648982617,-0.5507917948589851,0,0
2021-10-19,0.002585614759038869,-1.0614023110125523,-1.2725329858546426,-0.28087129152959583,-0.6601061217178534,0,0
2021-10-20,-0.0031328091958620807,-0.8225839406323951,-1.2917531226877308,-0.31375024838511534,-0.6977389507843773,0,0
2021-10-21,0.010369987898987658,-1.2799191558695007,-1.255789687415749,-0.28639539727028207,-0.7837567481351908,0,0
2021-10-22,-0.005630498643747174,-1.0613865193051817,-1.1746402545028747,-0.27261443126476487,-0.7084910900021432,0,0
2021-10-25,-0.0038059639741092996,-1.1531341069398426,-1.1563994900892138,-0.3906024089770514,-0.7425399296301355,0,0
2021-10-26,0.0059366606630426024,-1.0924880829838257,-1.2529589578364972,-1.0203629139404637,-0.6099290732632123,0,0
2021-10-27,0.04078281937065507,0.3948529591060662,-0.35003198341177544,-0.5132373651017944,-0.4307251578801793,1,0
2021-10-28,0.00317610290609635,0.4196584679179694,-0.4604813969428656,-0.5824466257679131,-0.5113667147199383,1,0
2021-10-29,0.0216976464658099,0.28765801424091014,-0.3325607615594421,-0.6197791250228961,-0.5597518539063996,1,0
2021-11-01,-0.00727639838977566,0.4007363962095908,-0.20642794521671587,-0.8555685772556082,-0.5328713349598132,1,0
2021-11-02,0.010882319844725341,0.35885157162742237,-0.20791131928849094,-0.9137231684965632,-0.6009686724114548,1,0
2021-11-03,0.002139608568028963,-0.6051553796153256,-0.2587350374086919,-0.9343024504911688,-0.7676283684063704,1,0
2021-11-04,0.006809788959683523,-0.6211858273298403,-0.26278818321018177,-0.9342614489022216,-0.7066991807339632,1,0
2021-11-05,-0.0015985570154338083,-1.0814783992913288,-0.31859629708064824,-0.9273188748958715,-0.5203271155716958,1,0
2021-11-08,0.002294780668220022,-1.3697388950524136,-0.387334673509569,-0.9539933468330063,-0.38771625920477254,1,0
2021-11-09,-0.0035595602863978276,-1.4738440308611,-0.3058879944109965,-0.9680437968483155,-0.2873618204911471,1,0
2021-11-10,-0.015917144808968203,-0.896925156363492,-0.9354354924867165,-0.784001120908439,-0.11711830595987159,0,0
2021-11-11,0.004446794254262599,-0.9722086933945604,-0.9313360524852446,-0.8953167668737908,-0.308866440731022,0,0
2021-11-12,0.012353800410928898,-0.6433473020390091,-1.2017259035430208,-0.8687217473990299,-0.5543756133953451,0,0
2021-11-15,-0.0024011660176654183,-0.650349873577915,-1.2646715760834315,-0.8616352896772598,-0.5185350354013443,0,0
2021-11-16,0.009715234030653538,-0.5432339359452873,-1.2870204005735904,-0.8499723558129038,-0.5400393138368762,0,0
2021-11-17,0.00021031536424020645,-1.1929596785810466,-1.2863568285531084,-0.8664395207044001,-0.40742845746995293,0,0
2021-11-18,0.005850822817500607,-1.1919294540445813,-1.2972095300439261,-0.8804423829479108,-0.32141066011913944,0,0
2021-11-19,0.004908490686349645,-1.3738951677065534,-1.2944789123840543,-0.9246185683141355,-0.26406546188526375,0,0
2021-11-22,-0.010074246961990862,-1.0147203621811858,-1.16326217265725,-0.8629534610315852,-0.03826848748612104,0,0
2021-11-23,-0.006815682939033878,-1.084992895588859,-1.1274542458357864,-0.8140596068876574,-0.00063582932176876,0,0
2021-11-24,0.0002125597203417697,-1.0849787911718205,-1.4409937773298906,-1.5014198543713255,-0.14399882490645793,0,0
2021-11-26,-0.02512592486123386,-0.5172172738119454,-0.8229547336795805,-1.1417225200832544,1.6552086496052778,3,0
2021-11-29,0.0203933577633012,0.12961632662424644,-0.6151129841249442,-1.1675518935772986,0.6409141740773155,3,1
2021-11-30,-0.01857408813842673,0.27422333399800636,-0.4091847976602474,-1.0303630530058683,1.3989469959188456,3,1
2021-12-01,-0.002012653318960261,0.283561444392472,-0.5081100951102007,-1.088771872280399,2.1032184380628602,3,1
2021-12-02,-0.0022574766354240498,0.26477253410005097,-0.5154978142599812,-1.0924004686627047,1.5351420126264719,3,1
2021-12-03,-0.020331574839309963,0.10660210581544756,-0.4254446059791816,-0.9692987223120468,2.022576539418758,3,1
2021-12-06,0.009328208629694414,-0.3925030757066661,-0.35254871227736795,-0.9125176230687903,1.3971549157484942,3,1
2021-12-07,0.025942960122200504,0.1828218092922885,0.12503806633679274,-0.6208428426598731,0.44916603930616517,3,1
2021-12-08,-0.00031941911900073064,0.17182594017490874,0.11176007752291615,-0.6241083556206488,0.0925502887104507,3,1
2021-12-09,-0.00606690008713815,0.2160795029486994,0.12049733176600287,-0.7051473974526686,0.39361292124264097,3,1
2021-12-10,0.027477254521566477,-0.05754226221388544,0.1448309923913489,-0.4422665525862121,-0.12428628483693455,3,1
2021-12-13,-0.009678177713466228,0.2918417043693669,0.034242361846414444,-0.45420411820692796,0.16602386667314678,3,1
2021-12-14,-0.03359827085313132,0.8006286241827358,0.41934173608812875,-0.09774001177986835,0.44916603930616517,2,1
2021-12-15,0.018566969449400804,1.10430045502836,0.5765078957628951,-0.013557978460973433,-0.016763867246246168,2,1
2021-12-16,-0.030036501082371662,1.543779565949137,0.9409653063772678,0.2175147233539947,0.21261692568925653,2,1
2021-12-17,-0.00386031925607387,0.7131213056936796,0.7933852422298026,0.1963406232188371,0.3918208410722895,2,1
2021-12-20,-0.01255482215758167,0.7092681975872233,0.7987270469314314,0.19922282134869815,0.6247861361528382,2,1
2021-12-21,0.02233821645107084,0.7979488154616806,0.7180043205762168,0.3660363355578157,0.29146674416300705,2,1
2021-12-22,0.01742782954583291,0.7659274449646013,0.8715186701802918,0.4572350400650947,-0.13503876585904348,2,1
2021-12-23,0.003992793461042239,-0.13794519704974734,0.8671031328753319,0.4634928299741786,-0.2551054028378493,3,1
2021-12-27,0.02245248805721284,-0.07020944005902582,0.7627826741274302,0.42376495902707173,-0.305282280390319,3,1
2021-12-28,-0.003978979625138409,-0.4725240229989828,0.7310764117515277,0.32670495880401784,-0.33037071916655386,3,1
2021-12-29,0.0015804080700057162,-0.5635579971479923,0.14938769532855176,0.22361503149088768,-0.43610105658689075,3,1
2021-12-30,-0.008189352773852378,-0.4844588768043453,0.06757025693971416,0.2450202032794243,-0.36800371913524915,3,1
2021-12-31,-0.009349418800643428,-0.3298461414661821,-0.45942677372104146,0.27089208245975527,-0.38771625920477254,3,0
2022-01-03,-0.005147656522966067,-1.4377049153860697,-0.44679736191519315,0.15342656486877196,-0.49882249533182094,3,1
2022-01-04,-0.017764726113726762,-1.0904865337425114,-0.32827827895317363,0.22834515118321624,-0.44326937726829674,3,1
