,VS1_0,VS1_1,VS1_2
VS1_0,0.9749549961055595,0.0,0.02504500389444047
VS1_1,1.9722151415774205e-26,0.9660294466979501,0.03397055330204984
VS1_2,0.05122532829902528,0.03587924975254918,0.9128954219484255
