,VS1_0,VS1_1,VS1_2
VS1_0,0.9640578549429778,0.016913978428678613,0.019028166628343588
VS1_1,0.03345521062439634,0.9665447893756036,0.0
VS1_2,0.04278078708749097,0.0,0.9572192129125091
