,VS0_0,VS0_1,VS0_2,VS0_3,VS0_4
VS0_0,0.9139287568696036,0.0,0.03775116182631554,3.618611296866595e-121,0.04832008130408066
VS0_1,1.4009391701292256e-275,0.9560826888761653,0.0,0.043917311123834755,9.375023062617646e-276
VS0_2,0.017087463116258205,0.0,0.9545550875013771,2.9607674616259127e-279,0.028357449382364737
VS0_3,0.03201822639060312,0.03002611361524996,0.0,0.9251598997235042,0.012795760270642645
VS0_4,0.048291435896022424,1.5589396318628017e-05,9.607781850393571e-83,0.044477592035829405,0.9072153826718294
