,VS0_0,VS0_1,VS0_2,VS0_3,VS0_4
VS0_0,0.880049431751543,0.0668240864337813,0.01312058398207405,0.040005897832601604,3.547994626425078e-133
VS0_1,0.02295119043311751,0.9317509802475017,1.095358230350008e-20,0.045297829319380804,1.0579466725639511e-147
VS0_2,0.008594509986568506,0.007903611337083288,0.9835018786763483,3.2755406330919e-33,4.783567595297585e-232
VS0_3,0.04721108264596578,0.005330669781457749,0.0035380885349841308,0.9135468035414601,0.030373355496132248
VS0_4,0.00472295486328981,2.297798263061766e-51,5.941630377142738e-152,0.036397681544625554,0.9588793635920846
