,VS1_0,VS1_1,VS1_2
VS1_0,0.954414666290045,0.0028490130885985864,0.04273632062135638
VS1_1,0.0,0.9634716458968746,0.03652835410312527
VS1_2,0.15097394706850847,0.13321068726894436,0.7158153656625471
