,VS0_0,VS0_1,VS0_2,VS0_3,VS0_4
VS0_0,0.9300778881735972,3.072569492312077e-12,0.04273065821294646,0.02719145361038387,1.2536181221659213e-109
VS0_1,1.5660061894401572e-144,0.872823165135306,8.313502059158636e-82,7.558015247877477e-183,0.12717683486469397
VS0_2,0.032987212025072,0.07515290422612059,0.8589615715041325,6.818381602638148e-38,0.03289831224467485
VS0_3,5.348399762358556e-07,0.005255928557657456,0.02074765142561742,0.9739958851767488,7.69818846918109e-158
VS0_4,0.04215368693391144,0.014828544850550789,0.01174524617596829,3.939832713270675e-49,0.9312725220395696
