,VS0_0,VS0_1,VS0_2,VS0_3,VS0_4
VS0_0,0.9220214627926553,0.01291681831531283,0.005294714333223273,7.844575883719947e-119,0.05976700455880869
VS0_1,0.01817909930566131,0.8655226530671641,0.07536269773254037,0.02240790608296607,0.01852764381166789
VS0_2,7.633780043445866e-130,0.09869673213585678,0.8626929589968199,0.02988982026408318,0.008720488603240133
VS0_3,1.7763906634468324e-271,0.0547820222058739,0.008897725385226544,0.9363202524088995,1.3671896956018042e-217
VS0_4,0.06697534971576549,0.009901213896358329,0.0050780516230827044,1.3987283947664833e-100,0.9180453847647935
