,VS0_0,VS0_1,VS0_2,VS0_3,VS0_4,VS0_5
VS0_0,0.6964264762872898,1.2395878980934428e-08,2.060943075950355e-53,0.3035735113168261,1.0625418743586332e-50,4.993444958918515e-15
VS0_1,0.008533867039954046,0.9566604364483888,1.476425983890042e-20,0.01307016781826953,0.02173552869338768,1.4453532012707647e-133
VS0_2,0.004315577445807873,7.441571690730664e-57,0.9500307433139153,3.278324212461001e-106,0.04565367924027673,2.675307628589166e-93
VS0_3,2.0415401980812483e-84,1.4490679979274895e-96,2.4864185895296058e-170,0.684897134041252,6.733289915991694e-158,0.3151028659587481
VS0_4,0.021672004394012862,0.010843028434541232,0.01450099550354606,3.171243047342799e-94,0.9529839716678998,2.8400762359086463e-80
VS0_5,1.0170653808851166e-233,0.088260441708544,0.1059017270236084,1.0019737629066396e-146,1.7669131990811685e-36,0.8058378312678476
