,VS0_0,VS0_1,VS0_2,VS0_3
VS0_0,0.9614010508983366,0.0,0.027073463162080924,0.011525485939582466
VS0_1,0.0,0.9758206187812768,0.018300154286665496,0.005879226932057771
VS0_2,0.008067274985721035,9.7152746160698e-203,0.9555405472502287,0.03639217776405021
VS0_3,0.034064268153030694,0.022395845648034454,0.012404954764215177,0.9311349314347196
