,VS0_0,VS0_1,VS0_2,VS0_3,VS0_4
VS0_0,0.9458334672191445,0.003985980293807317,0.027882212010707463,2.4428316926973862e-160,0.022298340476340814
VS0_1,0.0,0.7999999736317737,0.0,0.20000002636822634,0.0
VS0_2,3.6969446533482634e-17,0.004153929904290397,0.9635881588676803,1.7970495901380113e-206,0.032257911228029255
VS0_3,0.0333271164268549,0.0,0.0,0.9666728835731451,2.7563870477038817e-136
VS0_4,0.04475159873756027,0.004191911311414548,2.6827506429877295e-28,1.363936615116291e-159,0.9510564899510251
