,VS0_0,VS0_1,VS0_2,VS0_3,VS0_4,VS0_5
VS0_0,0.6964264762873228,1.2395878980859693e-08,2.0609430757683167e-53,0.30357351131679317,1.0625418743619927e-50,4.993444958883761e-15
VS0_1,0.008533867039953848,0.9566604364483884,1.4764259838099364e-20,0.013070167818269881,0.02173552869338791,1.4453532012544465e-133
VS0_2,0.004315577445808877,7.441571690689493e-57,0.9500307433139213,3.278324212441559e-106,0.04565367924026982,2.67530762858828e-93
VS0_3,2.0415401980766514e-84,1.449067997913395e-96,2.4864185893026035e-170,0.684897134041177,6.7332899160107876e-158,0.31510286595882286
VS0_4,0.02167200439401622,0.010843028434536153,0.014500995503554047,3.1712430474141523e-94,0.9529839716678936,2.8400762359345292e-80
VS0_5,1.017065380871619e-233,0.08826044170850525,0.10590172702365103,1.001973762905417e-146,1.766913199178546e-36,0.8058378312678438
