,VS0_0,VS0_1,VS0_2,VS0_3,VS0_4
VS0_0,0.9458334672191587,0.003985980293805346,0.02788221201069841,2.4428316926710332e-160,0.022298340476337657
VS0_1,0.0,0.7999999736317743,0.0,0.20000002636822573,0.0
VS0_2,3.696944653298985e-17,0.004153929904291756,0.963588158867685,1.7970495901224597e-206,0.03225791122802328
VS0_3,0.03332711642686504,0.0,0.0,0.966672883573135,2.756387047764749e-136
VS0_4,0.04475159873755173,0.004191911311410807,2.6827506429618877e-28,1.3639366151176995e-159,0.9510564899510374
