,VS0_0,VS0_1,VS0_2,VS0_3,VS0_4
VS0_0,0.9220214627926335,0.012916818315322483,0.0052947143332209255,7.844575883701921e-119,0.059767004558822986
VS0_1,0.018179099305632378,0.8655226530672137,0.07536269773255988,0.02240790608296444,0.018527643811629715
VS0_2,7.633780043450806e-130,0.09869673213583399,0.8626929589968454,0.029889820264095264,0.008720488603225308
VS0_3,1.7763906634405346e-271,0.054782022205846125,0.008897725385225682,0.9363202524089281,1.3671896956300643e-217
VS0_4,0.06697534971576044,0.009901213896356014,0.0050780516230878505,1.398728394759629e-100,0.9180453847647957
