,VS0_0,VS0_1,VS0_2,VS0_3,VS0_4,VS0_5
VS0_0,0.6964264762872862,1.2395878981590902e-08,2.0609430761198115e-53,0.30357351131682975,1.0625418743503875e-50,4.9934449590955395e-15
VS0_1,0.008533867039953912,0.9566604364483887,1.4764259840501934e-20,0.013070167818269028,0.021735528693388212,1.4453532012785812e-133
VS0_2,0.004315577445808214,7.441571690991155e-57,0.9500307433139143,3.2783242126612927e-106,0.0456536792402774,2.675307628747218e-93
VS0_3,2.0415401978784446e-84,1.4490679977111789e-96,2.4864185897156634e-170,0.6848971340412481,6.73328991567188e-158,0.31510286595875203
VS0_4,0.021672004394012193,0.010843028434540066,0.014500995503547316,3.171243047273772e-94,0.9529839716679005,2.8400762358475546e-80
VS0_5,1.0170653808167168e-233,0.08826044170854622,0.1059017270236079,1.0019737628996846e-146,1.7669131990849488e-36,0.8058378312678459
